Date,Open.SBI,High.SBI,Low.SBI,Close.SBI,Adj Close.SBI,Volume.SBI,Open.RCOM,High.Rcom,Low.Rcom,Close.Rcom,Adj Close.Rcom,Volume.Rcom,Open.kcp,High.kcp,Low.kcp,Close.kcp,Adj Close.kcp,Volume.kcp,Open.HDFC,High.HDFC,Low.HDFC,Close.HDFC,Adj Close.HDFC,Volume.HDFC,Open.HATH,High.HATH,Low.HATH,Close.HATH,Adj Close.HATH,Volume.HATH
6/8/2017,292,292,287.75,288.600006,288.600006,8370299,19.299999,19.4,18.65,18.75,18.75,32893792,107.449997,109.5,106.949997,108.900002,106.797691,16742,1643.900024,1659.400024,1641.650024,1644.75,1633.893188,1062192,39.5,39.75,38.799999,38.900002,38.900002,17783
6/9/2017,288.299988,289.399994,285.799988,288.549988,288.549988,10804887,18.5,18.75,18.15,18.4,18.4,36481400,107.5,108.449997,106,106.650002,104.591125,24295,1640.099976,1670,1640.099976,1666.800049,1655.797729,1326318,39.349998,41.75,39.349998,40.349998,40.349998,86929
6/12/2017,286.75,287,284.299988,284.950012,284.950012,10326846,18.4,19.1,18.1,18.35,18.35,60514009,107.449997,109.5,105.650002,106.75,104.689194,34772,1664,1676,1660,1668.75,1657.734863,992853,40,40.5,39.75,39.950001,39.950001,18434
6/13/2017,285.399994,287,283,283.850006,283.850006,9171049,18.700001,18.9,17.9,18.049999,18.049999,48409495,107.099998,108.650002,105,105.25,103.218147,75981,1661.75,1691.900024,1661,1676.699951,1665.632324,1262905,40.099998,41.450001,39.150002,41.099998,41.099998,64789
6/14/2017,285.899994,286.299988,282.600006,284.200012,284.200012,11566255,18.049999,18.450001,17.799999,18.299999,18.299999,26861764,105.199997,106.900002,104.349998,105.050003,103.022011,11113,1675,1679.949951,1667,1671.199951,1660.168579,964590,40.5,40.799999,40,40.549999,40.549999,37602
6/15/2017,283.850006,285.799988,281.350006,284,284,11925641,18.299999,19.200001,18.1,19.049999,19.049999,46460987,106,106,105,105.150002,103.120079,7456,1668,1675.599976,1653.599976,1664.349976,1653.363892,881673,40.5,41.650002,40.5,41.049999,41.049999,46869
6/16/2017,284.700012,286.649994,283.25,285.950012,285.950012,19246907,19.200001,19.35,18.9,19.049999,19.049999,38367415,105.099998,107.949997,105.099998,106.699997,104.640152,64317,1665,1674.699951,1658.099976,1669.25,1658.231567,938776,41,41,39.799999,40.099998,40.099998,26673
6/19/2017,286.600006,289.850006,285.299988,288.850006,288.850006,14848661,19.15,19.299999,19,19.1,19.1,15347919,114.199997,115.050003,112,113.25,111.063713,131098,1671,1696,1668.400024,1692.900024,1681.725464,956383,42.5,43.5,41.25,42.049999,42.049999,266720
6/20/2017,287.600006,291,285.600006,290.100006,290.100006,14927701,19.049999,19.35,18.950001,19.049999,19.049999,12657900,115,115.5,112.199997,112.900002,110.720467,33369,1690,1694,1679.849976,1686.550049,1675.417358,915066,42.299999,42.299999,40.25,40.549999,40.549999,54344
6/21/2017,288.25,292.450012,288.25,290.899994,290.899994,10537576,19,19.950001,19,19.700001,19.700001,27711196,113.150002,113.699997,109.75,109.900002,107.778381,30519,1682.599976,1701.25,1679.599976,1698.699951,1687.487061,852733,41.450001,41.549999,39.450001,39.700001,39.700001,48996
6/22/2017,291.25,295.899994,291.049988,294.5,294.5,26110402,19.950001,20.950001,19.799999,20.1,20.1,47859858,114.699997,114.699997,109.5,110.099998,107.974518,26732,1694.949951,1716,1691.199951,1698,1686.791748,1668865,39.700001,39.950001,38.599998,38.900002,38.900002,39060
6/23/2017,294.75,295.549988,287.799988,288.950012,288.950012,20648597,20.299999,21.450001,19.9,21.200001,21.200001,66228789,110.099998,111.699997,106.449997,107.550003,105.473755,39109,1702,1702.75,1675.199951,1678.650024,1667.569458,1304367,40.75,40.75,36.5,37.599998,37.599998,59992
6/27/2017,288.950012,289.450012,276.799988,279.649994,279.649994,25523129,21.200001,22.200001,21.200001,21.700001,21.700001,54013086,107.550003,109.400002,99.699997,102.099998,100.12896,173424,1678.650024,1695,1656.25,1667.650024,1656.64209,1500108,37.599998,38.349998,35.900002,36.299999,36.299999,35261
6/28/2017,277.600006,278.450012,273.75,276.399994,276.399994,17241351,22,22,20.700001,20.85,20.85,38623787,101.300003,102.550003,98.849998,99.599998,97.677223,54754,1665,1675,1657.800049,1666.449951,1655.449951,1112259,36,38.299999,35.75,37.200001,37.200001,63891
6/29/2017,277.149994,279.299988,271.649994,272.450012,272.450012,30457363,21,22.299999,20.950001,22,22,51864136,100,103.5,99.849998,102.25,100.276062,28542,1667,1681.900024,1651.099976,1663.050049,1663.050049,2296927,37.599998,37.950001,36.75,36.900002,36.900002,23129
6/30/2017,272,274.75,269.700012,273.649994,273.649994,12235472,22.15,22.200001,21.25,21.5,21.5,25920579,101.400002,104.75,101.400002,104.199997,102.188416,33562,1653.800049,1660,1643,1652.050049,1652.050049,1082608,36.349998,37.200001,36.25,36.450001,36.450001,20742
7/3/2017,274.100006,275.5,272.549988,274.850006,274.850006,8951033,21.6,22.1,21.35,21.85,21.85,23267104,107.949997,108.949997,105.550003,107.300003,105.228577,26690,1652.599976,1667.5,1647.25,1658.599976,1658.599976,876083,36.299999,37.450001,35.049999,36.599998,36.599998,24743
7/4/2017,275,276.450012,272.049988,273,273,7856082,21.950001,21.950001,20.700001,20.950001,20.950001,26674009,107.550003,108.699997,105.300003,105.550003,103.51236,31031,1660.25,1666.699951,1652,1653.349976,1653.349976,941520,37.049999,37.599998,35.900002,36.099998,36.099998,52637
7/5/2017,273.899994,275.600006,272.350006,274.899994,274.899994,10048734,20.75,22.1,20.35,21.799999,21.799999,24868060,106.550003,111.800003,105.099998,109.5,107.386101,48536,1653.099976,1659.5,1645,1648.75,1648.75,1003550,36,36.650002,36,36.5,36.5,16263
7/6/2017,275.049988,282.700012,274.600006,281,281,16115817,21.9,22.9,21.6,22.450001,22.450001,36589307,109.5,113.900002,109.199997,110.25,108.121628,42059,1652.550049,1663,1651.349976,1658.150024,1658.150024,1142919,36.849998,36.849998,36.099998,36.349998,36.349998,15365
7/7/2017,280.600006,282.399994,279.200012,280.100006,280.100006,5914038,22.200001,22.950001,22,22.799999,22.799999,24148778,110,112.800003,109,109.550003,107.435143,27629,1660.849976,1669.599976,1658,1667.199951,1667.199951,1379349,36.099998,36.75,35.799999,36.299999,36.299999,39222
7/10/2017,284.100006,287,283.200012,285.549988,285.549988,2095795,23.799999,24.65,23.799999,24.35,24.35,9892141,109.949997,112.400002,107.300003,108.199997,106.111198,58085,1668,1748,1661.050049,1676.349976,1676.349976,327313,36.700001,37.099998,35.950001,36.200001,36.200001,43541
7/11/2017,287.5,289.700012,283,283.549988,283.549988,12400820,24.35,24.950001,23.75,24.200001,24.200001,38248562,109.699997,112.400002,108.449997,108.699997,106.601547,44792,1677.550049,1690.800049,1667.099976,1680.400024,1680.400024,1102570,36.25,36.400002,35.799999,36.049999,36.049999,13837
7/12/2017,284.700012,288.399994,283.200012,287.649994,287.649994,7524835,24.299999,24.6,24.1,24.299999,24.299999,17496434,109,111.5,108.150002,109.400002,107.288033,14824,1680,1685,1658.550049,1681.25,1681.25,1434723,35.650002,35.900002,35.400002,35.650002,35.650002,14647
